Date,AAPL,AMD,AMZN,GOOGL,INTC,META,MSFT,NFLX,NVDA,TSLA
2024-04-15,171.87840270996094,160.32000732421875,183.6199951171875,154.12315368652344,35.935157775878906,498.4117431640625,410.5059814453125,607.1500244140625,85.97274780273438,161.47999572753906
2024-04-16,168.583984375,163.4600067138672,183.32000732421875,153.6653289794922,35.88566970825195,497.9434814453125,411.43878173828125,617.52001953125,87.38628387451172,157.11000061035156
2024-04-17,167.21046447753906,154.02000427246094,181.27999877929688,154.73023986816406,35.31166076660156,492.373779296875,408.71954345703125,613.6900024414062,84.00739288330078,155.4499969482422
2024-04-18,166.2549591064453,155.0800018310547,179.22000122070312,155.2676544189453,34.67826843261719,499.97601318359375,401.2069091796875,610.5599975585938,84.6431884765625,149.92999267578125
2024-04-19,164.2245635986328,146.63999938964844,174.6300048828125,153.3568115234375,33.84693908691406,479.3213806152344,396.095947265625,555.0399780273438,76.17496490478516,147.0500030517578
2024-04-22,165.06060791015625,148.63999938964844,177.22999572753906,155.53639221191406,34.054771423339844,479.97900390625,397.9220275878906,554.5999755859375,79.49187469482422,142.0500030517578
2024-04-23,166.11561584472656,152.27000427246094,179.5399932861328,157.5069580078125,33.92611312866211,494.2967529296875,404.48193359375,577.75,82.39591979980469,144.67999267578125
2024-04-24,168.2256622314453,151.74000549316406,176.58999633789062,158.37283325195312,34.14384078979492,491.7062072753906,405.96063232421875,555.1199951171875,79.65083312988281,162.1300048828125
2024-04-25,169.09156799316406,153.75999450683594,173.6699981689453,155.25772094726562,34.74754333496094,439.775634765625,396.01654052734375,564.7999877929688,82.60486602783203,170.17999267578125
2024-04-26,168.5043487548828,157.39999389648438,179.6199951171875,171.1318359375,31.55088996887207,441.6787109375,403.2414245605469,561.22998046875,87.7061767578125,168.2899932861328
2024-04-29,172.68460083007812,160.1999969482422,180.9600067138672,165.3594207763672,31.036258697509766,431.0474853515625,399.2022399902344,559.489990234375,87.7281723022461,194.0500030517578
2024-04-30,169.52951049804688,158.3800048828125,175.0,162.00547790527344,30.155445098876953,428.60638427734375,386.380126953125,550.6400146484375,86.37361145019531,183.27999877929688
2024-05-01,168.5043487548828,144.27000427246094,179.0,163.080322265625,30.05647850036621,437.5936279296875,391.9476318359375,551.7100219726562,83.01371765136719,179.99000549316406
2024-05-02,172.21682739257812,146.16000366210938,184.72000122070312,165.82717895507812,30.195032119750977,440.07452392578125,394.8256530761719,565.1500244140625,85.78881072998047,180.00999450683594
2024-05-03,182.51817321777344,150.60000610351562,186.2100067138672,166.44424438476562,30.581005096435547,450.3171691894531,403.5788269042969,579.3400268554688,88.75983428955078,181.19000244140625
2024-05-06,180.85604858398438,155.77999877929688,188.6999969482422,167.30015563964844,30.774776458740234,463.9873046875,410.40667724609375,596.969970703125,92.10972595214844,184.75999450683594
2024-05-07,181.5427703857422,154.42999267578125,188.75999450683594,170.43515014648438,30.486604690551758,466.53802490234375,406.2384948730469,606.0,90.52424621582031,177.80999755859375
2024-05-08,181.88119506835938,153.6199951171875,188.0,168.57406616210938,29.81089210510254,470.8821716308594,407.429443359375,609.469970703125,90.3823013305664,174.72000122070312
2024-05-09,183.7025909423828,152.38999938964844,189.5,169.15130615234375,29.90032386779785,473.6919250488281,409.1959228515625,612.0900268554688,88.71784973144531,171.97000122070312
2024-05-10,182.43685913085938,151.9199981689453,187.47999572753906,167.84751892089844,29.66183853149414,474.4690856933594,411.59759521484375,610.8699951171875,89.84848022460938,168.47000122070312
2024-05-13,185.65602111816406,150.55999755859375,186.57000732421875,168.335205078125,30.317676544189453,466.308837890625,410.5853271484375,616.5900268554688,90.36930847167969,171.88999938964844
2024-05-14,186.80215454101562,153.16000366210938,187.07000732421875,169.52947998046875,30.854272842407227,470.1349182128906,413.40380859375,613.6599731445312,91.32599639892578,177.5500030517578
2024-05-15,189.0845184326172,159.6699981689453,185.99000549316406,171.6891632080078,31.072887420654297,479.7896728515625,420.6317443847656,613.52001953125,94.59890747070312,173.99000549316406
2024-05-16,189.2041015625,162.6199951171875,183.6300048828125,173.35121154785156,31.828094482421875,471.5098876953125,418.5538330078125,610.52001953125,94.3280029296875,174.83999633789062
2024-05-17,189.23399353027344,164.47000122070312,184.6999969482422,175.22227478027344,31.629356384277344,470.1947021484375,417.7783203125,621.0999755859375,92.44861602783203,177.4600067138672
2024-05-20,190.40008544921875,166.3300018310547,183.5399932861328,176.0781707763672,31.897653579711914,467.13580322265625,422.878662109375,640.8200073242188,94.74886322021484,174.9499969482422
2024-05-21,191.70570373535156,164.66000366210938,183.14999389648438,177.0037384033203,31.5399227142334,462.941162109375,426.5572509765625,650.6099853515625,95.35466766357422,186.60000610351562
2024-05-22,190.2605438232422,165.52000427246094,183.1300048828125,175.54075622558594,31.221940994262695,466.0796813964844,428.0286865234375,640.469970703125,94.91880798339844,180.11000061035156
2024-05-23,186.2540283203125,160.42999267578125,181.0500030517578,172.72421264648438,29.8903865814209,464.08697509765625,424.5290832519531,635.6699829101562,103.76490783691406,173.74000549316406
2024-05-24,189.3436279296875,166.36000061035156,180.75,174.15737915039062,30.526351928710938,476.48175048828125,427.6707763671875,646.75,106.43402862548828,179.24000549316406
2024-05-28,189.3535919189453,171.61000061035156,182.14999389648438,175.56065368652344,30.86421012878418,478.1755676269531,427.8298645019531,649.0,113.86358642578125,176.75
